@relation ./DatosEnPDF/16_01-04_01-10.pdf

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute lluvia {si, no}
@attribute cantidad numeric

@data

Lunes,Enero,1,Laboral,no,567
Martes,Enero,1,Laboral,no,576
Miércoles,Enero,1,Laboral,no,582
Jueves,Enero,1,Laboral,no,644
Viernes,Enero,1,Laboral,no,790
Sábado,Enero,1,Víspera,no,1468
Domingo,Enero,1,Festivo,no,1656
Lunes,Enero,2,Laboral,no,304
Martes,Enero,2,Laboral,no,351
Miércoles,Enero,2,Laboral,no,316
Jueves,Enero,2,Laboral,no,344
Viernes,Enero,2,Laboral,no,403
Sábado,Enero,2,Víspera,no,855
Domingo,Enero,2,Festivo,no,998
Lunes,Enero,3,Laboral,no,185
Martes,Enero,3,Laboral,no,179
Miércoles,Enero,3,Laboral,no,173
Jueves,Enero,3,Laboral,no,228
Viernes,Enero,3,Laboral,no,228
Sábado,Enero,3,Víspera,no,580
Domingo,Enero,3,Festivo,no,716
Lunes,Enero,4,Laboral,no,188
Martes,Enero,4,Laboral,no,162
Miércoles,Enero,4,Laboral,no,178
Jueves,Enero,4,Laboral,no,184
Viernes,Enero,4,Laboral,no,201
Sábado,Enero,4,Víspera,no,367
Domingo,Enero,4,Festivo,no,496
Lunes,Enero,5,Laboral,no,328
Martes,Enero,5,Laboral,no,365
Miércoles,Enero,5,Laboral,no,313
Jueves,Enero,5,Laboral,no,320
Viernes,Enero,5,Laboral,no,386
Sábado,Enero,5,Víspera,no,385
Domingo,Enero,5,Festivo,no,434
Lunes,Enero,6,Laboral,no,1320
Martes,Enero,6,Laboral,no,1311
Miércoles,Enero,6,Laboral,no,1218
Jueves,Enero,6,Laboral,no,1140
Viernes,Enero,6,Laboral,no,1211
Sábado,Enero,6,Víspera,no,776
Domingo,Enero,6,Festivo,no,622
Lunes,Enero,7,Laboral,no,4650
Martes,Enero,7,Laboral,no,4302
Miércoles,Enero,7,Laboral,no,4318
Jueves,Enero,7,Laboral,no,4260
Viernes,Enero,7,Laboral,no,4229
Sábado,Enero,7,Víspera,no,1187
Domingo,Enero,7,Festivo,no,785
Lunes,Enero,8,Laboral,no,8116
Martes,Enero,8,Laboral,no,8066
Miércoles,Enero,8,Laboral,no,7939
Jueves,Enero,8,Laboral,no,7868
Viernes,Enero,8,Laboral,no,6705
Sábado,Enero,8,Víspera,no,1866
Domingo,Enero,8,Festivo,no,1169
Lunes,Enero,9,Laboral,no,8260
Martes,Enero,9,Laboral,no,7958
Miércoles,Enero,9,Laboral,no,8166
Jueves,Enero,9,Laboral,no,8298
Viernes,Enero,9,Laboral,no,6090
Sábado,Enero,9,Víspera,no,3472
Domingo,Enero,9,Festivo,no,1760
Lunes,Enero,10,Laboral,no,6982
Martes,Enero,10,Laboral,no,7102
Miércoles,Enero,10,Laboral,no,7291
Jueves,Enero,10,Laboral,no,6928
Viernes,Enero,10,Laboral,no,7539
Sábado,Enero,10,Víspera,no,4813
Domingo,Enero,10,Festivo,no,2534
Lunes,Enero,11,Laboral,no,6318
Martes,Enero,11,Laboral,no,6491
Miércoles,Enero,11,Laboral,no,6364
Jueves,Enero,11,Laboral,no,6315
Viernes,Enero,11,Laboral,no,7412
Sábado,Enero,11,Víspera,no,5574
Domingo,Enero,11,Festivo,no,3834
Lunes,Enero,12,Laboral,no,6551
Martes,Enero,12,Laboral,no,6625
Miércoles,Enero,12,Laboral,no,6549
Jueves,Enero,12,Laboral,no,6517
Viernes,Enero,12,Laboral,no,6773
Sábado,Enero,12,Víspera,no,6344
Domingo,Enero,12,Festivo,no,4557
Lunes,Enero,13,Laboral,no,6658
Martes,Enero,13,Laboral,no,6822
Miércoles,Enero,13,Laboral,no,6790
Jueves,Enero,13,Laboral,no,6933
Viernes,Enero,13,Laboral,no,7276
Sábado,Enero,13,Víspera,no,6663
Domingo,Enero,13,Festivo,no,5345
Lunes,Enero,14,Laboral,no,7652
Martes,Enero,14,Laboral,no,7924
Miércoles,Enero,14,Laboral,no,7888
Jueves,Enero,14,Laboral,no,7935
Viernes,Enero,14,Laboral,no,8185
Sábado,Enero,14,Víspera,no,7659
Domingo,Enero,14,Festivo,no,6145
Lunes,Enero,15,Laboral,no,8394
Martes,Enero,15,Laboral,no,8682
Miércoles,Enero,15,Laboral,no,8481
Jueves,Enero,15,Laboral,no,8462
Viernes,Enero,15,Laboral,no,9032
Sábado,Enero,15,Víspera,no,6786
Domingo,Enero,15,Festivo,no,5412
Lunes,Enero,16,Laboral,no,8220
Martes,Enero,16,Laboral,no,7766
Miércoles,Enero,16,Laboral,no,8502
Jueves,Enero,16,Laboral,no,8417
Viernes,Enero,16,Laboral,no,8529
Sábado,Enero,16,Víspera,no,5450
Domingo,Enero,16,Festivo,no,4105
Lunes,Enero,17,Laboral,no,8198
Martes,Enero,17,Laboral,no,8292
Miércoles,Enero,17,Laboral,no,8237
Jueves,Enero,17,Laboral,no,8125
Viernes,Enero,17,Laboral,no,8594
Sábado,Enero,17,Víspera,no,6196
Domingo,Enero,17,Festivo,no,4524
Lunes,Enero,18,Laboral,no,8271
Martes,Enero,18,Laboral,no,8399
Miércoles,Enero,18,Laboral,no,8389
Jueves,Enero,18,Laboral,no,8491
Viernes,Enero,18,Laboral,no,8049
Sábado,Enero,18,Víspera,no,5890
Domingo,Enero,18,Festivo,no,5708
Lunes,Enero,19,Laboral,no,8256
Martes,Enero,19,Laboral,no,7852
Miércoles,Enero,19,Laboral,no,7831
Jueves,Enero,19,Laboral,no,7395
Viernes,Enero,19,Laboral,no,8053
Sábado,Enero,19,Víspera,no,6504
Domingo,Enero,19,Festivo,no,5869
Lunes,Enero,20,Laboral,no,7005
Martes,Enero,20,Laboral,no,6805
Miércoles,Enero,20,Laboral,no,6586
