@relation trafico

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric
@attribute lluvia {si, no}

@data

Lunes,Enero,1,Laboral,766,si
Martes,Enero,1,Laboral,611,si
Miércoles,Enero,1,Festivo,552,no
Jueves,Enero,1,Laboral,655,no
Viernes,Enero,1,Laboral,722,si
Sábado,Enero,1,Víspera,1351,si
Domingo,Enero,1,Festivo,1593,no
Lunes,Enero,2,Laboral,396,si
Martes,Enero,2,Laboral,301,si
Miércoles,Enero,2,Festivo,311,no
Jueves,Enero,2,Laboral,345,no
Viernes,Enero,2,Laboral,372,si
Sábado,Enero,2,Víspera,788,si
Domingo,Enero,2,Festivo,939,no
Lunes,Enero,3,Laboral,263,si
Martes,Enero,3,Laboral,192,si
Miércoles,Enero,3,Festivo,196,no
Jueves,Enero,3,Laboral,182,no
Viernes,Enero,3,Laboral,216,si
Sábado,Enero,3,Víspera,461,si
Domingo,Enero,3,Festivo,599,no
Lunes,Enero,4,Laboral,247,si
Martes,Enero,4,Laboral,215,si
Miércoles,Enero,4,Festivo,188,no
Jueves,Enero,4,Laboral,172,no
Viernes,Enero,4,Laboral,234,si
Sábado,Enero,4,Víspera,322,si
Domingo,Enero,4,Festivo,446,no
Lunes,Enero,5,Laboral,386,si
Martes,Enero,5,Laboral,365,si
Miércoles,Enero,5,Festivo,351,no
Jueves,Enero,5,Laboral,322,no
Viernes,Enero,5,Laboral,386,si
Sábado,Enero,5,Víspera,400,si
Domingo,Enero,5,Festivo,401,no
Lunes,Enero,6,Laboral,1282,si
Martes,Enero,6,Laboral,1248,si
Miércoles,Enero,6,Festivo,1169,no
Jueves,Enero,6,Laboral,1271,no
Viernes,Enero,6,Laboral,1251,si
Sábado,Enero,6,Víspera,889,si
Domingo,Enero,6,Festivo,706,no
Lunes,Enero,7,Laboral,4547,si
Martes,Enero,7,Laboral,4536,si
Miércoles,Enero,7,Festivo,4526,no
Jueves,Enero,7,Laboral,4543,no
Viernes,Enero,7,Laboral,3954,si
Sábado,Enero,7,Víspera,1249,si
Domingo,Enero,7,Festivo,860,no
Lunes,Enero,8,Laboral,8197,si
Martes,Enero,8,Laboral,8135,si
Miércoles,Enero,8,Festivo,8007,no
Jueves,Enero,8,Laboral,8050,no
Viernes,Enero,8,Laboral,6987,si
Sábado,Enero,8,Víspera,1887,si
Domingo,Enero,8,Festivo,1170,no
Lunes,Enero,9,Laboral,8225,si
Martes,Enero,9,Laboral,8487,si
Miércoles,Enero,9,Festivo,8779,no
Jueves,Enero,9,Laboral,8678,no
Viernes,Enero,9,Laboral,6982,si
Sábado,Enero,9,Víspera,3148,si
Domingo,Enero,9,Festivo,1866,no
Lunes,Enero,10,Laboral,5375,si
Martes,Enero,10,Laboral,7517,si
Miércoles,Enero,10,Festivo,7601,no
Jueves,Enero,10,Laboral,2290,no
Viernes,Enero,10,Laboral,6625,si
Sábado,Enero,10,Víspera,4616,si
Domingo,Enero,10,Festivo,2318,no
Lunes,Enero,11,Laboral,1798,si
Martes,Enero,11,Laboral,6712,si
Miércoles,Enero,11,Festivo,6721,no
Jueves,Enero,11,Laboral,6470,no
Viernes,Enero,11,Laboral,6621,si
Sábado,Enero,11,Víspera,5365,si
Domingo,Enero,11,Festivo,3359,no
Lunes,Enero,12,Laboral,2023,si
Martes,Enero,12,Laboral,6571,si
Miércoles,Enero,12,Festivo,6635,no
Jueves,Enero,12,Laboral,6619,no
Viernes,Enero,12,Laboral,6645,si
Sábado,Enero,12,Víspera,6075,si
Domingo,Enero,12,Festivo,3441,no
Lunes,Enero,13,Laboral,2063,si
Martes,Enero,13,Laboral,6876,si
Miércoles,Enero,13,Festivo,6965,no
Jueves,Enero,13,Laboral,7098,no
Viernes,Enero,13,Laboral,7099,si
Sábado,Enero,13,Víspera,6473,si
Domingo,Enero,13,Festivo,3457,no
Lunes,Enero,14,Laboral,2039,si
Martes,Enero,14,Laboral,8171,si
Miércoles,Enero,14,Festivo,7913,no
Jueves,Enero,14,Laboral,6159,no
Viernes,Enero,14,Laboral,8262,si
Sábado,Enero,14,Víspera,7737,si
Domingo,Enero,14,Festivo,5138,no
Lunes,Enero,15,Laboral,2015,si
Martes,Enero,15,Laboral,9041,si
Miércoles,Enero,15,Festivo,8956,no
Jueves,Enero,15,Laboral,2960,no
Viernes,Enero,15,Laboral,9347,si
Sábado,Enero,15,Víspera,7290,si
Domingo,Enero,15,Festivo,5199,no
Lunes,Enero,16,Laboral,1661,si
Martes,Enero,16,Laboral,9057,si
Miércoles,Enero,16,Festivo,9015,no
Jueves,Enero,16,Laboral,8054,no
Viernes,Enero,16,Laboral,8513,si
Sábado,Enero,16,Víspera,5847,si
Domingo,Enero,16,Festivo,4139,no
Lunes,Enero,17,Laboral,709,si
Martes,Enero,17,Laboral,8584,si
Miércoles,Enero,17,Festivo,8443,no
Jueves,Enero,17,Laboral,7989,no
Viernes,Enero,17,Laboral,8156,si
