@relation relasionsita

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric

@data

Lunes,Agosto,1,Laboral,1815
Martes,Agosto,1,Laboral,749
Miércoles,Agosto,1,Laboral,876
Jueves,Agosto,1,Laboral,948
Viernes,Agosto,1,Laboral,1074
Sábado,Agosto,1,Víspera,2426
Domingo,Agosto,1,Festivo,1878
Lunes,Agosto,2,Laboral,1163
Martes,Agosto,2,Laboral,454
Miércoles,Agosto,2,Laboral,533
Jueves,Agosto,2,Laboral,525
Viernes,Agosto,2,Laboral,619
Sábado,Agosto,2,Víspera,1267
Domingo,Agosto,2,Festivo,1270
Lunes,Agosto,3,Laboral,705
Martes,Agosto,3,Laboral,305
Miércoles,Agosto,3,Laboral,307
Jueves,Agosto,3,Laboral,304
Viernes,Agosto,3,Laboral,344
Sábado,Agosto,3,Víspera,819
Domingo,Agosto,3,Festivo,899
Lunes,Agosto,4,Laboral,513
Martes,Agosto,4,Laboral,282
Miércoles,Agosto,4,Laboral,248
Jueves,Agosto,4,Laboral,258
Viernes,Agosto,4,Laboral,298
Sábado,Agosto,4,Víspera,509
Domingo,Agosto,4,Festivo,653
Lunes,Agosto,5,Laboral,465
Martes,Agosto,5,Laboral,393
Miércoles,Agosto,5,Laboral,395
Jueves,Agosto,5,Laboral,452
Viernes,Agosto,5,Laboral,445
Sábado,Agosto,5,Víspera,472
Domingo,Agosto,5,Festivo,552
Lunes,Agosto,6,Laboral,916
Martes,Agosto,6,Laboral,1324
Miércoles,Agosto,6,Laboral,1359
Jueves,Agosto,6,Laboral,1320
Viernes,Agosto,6,Laboral,1276
Sábado,Agosto,6,Víspera,834
Domingo,Agosto,6,Festivo,816
Lunes,Agosto,7,Laboral,1423
Martes,Agosto,7,Laboral,3879
Miércoles,Agosto,7,Laboral,3821
Jueves,Agosto,7,Laboral,3732
Viernes,Agosto,7,Laboral,3713
Sábado,Agosto,7,Víspera,1203
Domingo,Agosto,7,Festivo,916
Lunes,Agosto,8,Laboral,2314
Martes,Agosto,8,Laboral,6798
Miércoles,Agosto,8,Laboral,6633
Jueves,Agosto,8,Laboral,6097
Viernes,Agosto,8,Laboral,6939
Sábado,Agosto,8,Víspera,1895
Domingo,Agosto,8,Festivo,1136
Lunes,Agosto,9,Laboral,3411
Martes,Agosto,9,Laboral,5239
Miércoles,Agosto,9,Laboral,5138
Jueves,Agosto,9,Laboral,4005
Viernes,Agosto,9,Laboral,6168
Sábado,Agosto,9,Víspera,2737
Domingo,Agosto,9,Festivo,1522
Lunes,Agosto,10,Laboral,4486
Martes,Agosto,10,Laboral,5266
Miércoles,Agosto,10,Laboral,5189
Jueves,Agosto,10,Laboral,4931
Viernes,Agosto,10,Laboral,6044
Sábado,Agosto,10,Víspera,3858
Domingo,Agosto,10,Festivo,2170
Lunes,Agosto,11,Laboral,5312
Martes,Agosto,11,Laboral,5735
Miércoles,Agosto,11,Laboral,5422
Jueves,Agosto,11,Laboral,5563
Viernes,Agosto,11,Laboral,6069
Sábado,Agosto,11,Víspera,4628
Domingo,Agosto,11,Festivo,3200
Lunes,Agosto,12,Laboral,6382
Martes,Agosto,12,Laboral,6364
Miércoles,Agosto,12,Laboral,6223
Jueves,Agosto,12,Laboral,6542
Viernes,Agosto,12,Laboral,6646
Sábado,Agosto,12,Víspera,5387
Domingo,Agosto,12,Festivo,4392
Lunes,Agosto,13,Laboral,6749
Martes,Agosto,13,Laboral,6576
Miércoles,Agosto,13,Laboral,6210
Jueves,Agosto,13,Laboral,6872
Viernes,Agosto,13,Laboral,6742
Sábado,Agosto,13,Víspera,5745
Domingo,Agosto,13,Festivo,4747
Lunes,Agosto,14,Laboral,7118
Martes,Agosto,14,Laboral,7234
Miércoles,Agosto,14,Laboral,7499
Jueves,Agosto,14,Laboral,7485
Viernes,Agosto,14,Laboral,7584
Sábado,Agosto,14,Víspera,6085
Domingo,Agosto,14,Festivo,4807
Lunes,Agosto,15,Laboral,6305
Martes,Agosto,15,Laboral,7496
Miércoles,Agosto,15,Laboral,6769
Jueves,Agosto,15,Laboral,7814
Viernes,Agosto,15,Laboral,5981
Sábado,Agosto,15,Víspera,5242
Domingo,Agosto,15,Festivo,3837
Lunes,Agosto,16,Laboral,4952
Martes,Agosto,16,Laboral,7369
Miércoles,Agosto,16,Laboral,7888
Jueves,Agosto,16,Laboral,7538
Viernes,Agosto,16,Laboral,7226
Sábado,Agosto,16,Víspera,3950
Domingo,Agosto,16,Festivo,3169
Lunes,Agosto,17,Laboral,5090
Martes,Agosto,17,Laboral,7140
Miércoles,Agosto,17,Laboral,7448
Jueves,Agosto,17,Laboral,7186
Viernes,Agosto,17,Laboral,5900
Sábado,Agosto,17,Víspera,4134
Domingo,Agosto,17,Festivo,3465
Lunes,Agosto,18,Laboral,5738
Martes,Agosto,18,Laboral,6782
Miércoles,Agosto,18,Laboral,6736
Jueves,Agosto,18,Laboral,6941
Viernes,Agosto,18,Laboral,6245
Sábado,Agosto,18,Víspera,4424
Domingo,Agosto,18,Festivo,4041
Lunes,Agosto,19,Laboral,5988
Martes,Agosto,19,Laboral,6207
Miércoles,Agosto,19,Laboral,5986
Jueves,Agosto,19,Laboral,6360
Viernes,Agosto,19,Laboral,5961
Sábado,Agosto,19,Víspera,4227
Domingo,Agosto,19,Festivo,3488
Lunes,Agosto,20,Laboral,6112
Martes,Agosto,20,Laboral,5777
Miércoles,Agosto,20,Laboral,5380
Jueves,Agosto,20,Laboral,4983
Viernes,Agosto,20,Laboral,5237
Sábado,Agosto,20,Víspera,4272
Domingo,Agosto,20,Festivo,2922
Lunes,Agosto,21,Laboral,6423
Martes,Agosto,21,Laboral,6139
Miércoles,Agosto,21,Laboral,5751
Jueves,Agosto,21,Laboral,4420
Viernes,Agosto,21,Laboral,6144
Sábado,Agosto,21,Víspera,5306
Domingo,Agosto,21,Festivo,4425
Lunes,Agosto,22,Laboral,6082
Martes,Agosto,22,Laboral,4652
Miércoles,Agosto,22,Laboral,4628
Jueves,Agosto,22,Laboral,5118
Viernes,Agosto,22,Laboral,5087
Sábado,Agosto,22,Víspera,5224
Domingo,Agosto,22,Festivo,4147
Lunes,Agosto,23,Laboral,4210
Martes,Agosto,23,Laboral,3094
Miércoles,Agosto,23,Laboral,3032
Jueves,Agosto,23,Laboral,3157
Viernes,Agosto,23,Laboral,3551
Sábado,Agosto,23,Víspera,3850
Domingo,Agosto,23,Festivo,2855
Lunes,Agosto,24,Laboral,2127
Martes,Agosto,24,Laboral,1617
Miércoles,Agosto,24,Laboral,1636
Jueves,Agosto,24,Laboral,1817
Viernes,Agosto,24,Laboral,2345
Sábado,Agosto,24,Víspera,2640
Domingo,Agosto,24,Festivo,1679
Lunes,Julio,1,Laboral,2078
Martes,Julio,1,Laboral,2222
Miércoles,Julio,1,Laboral,850
Jueves,Julio,1,Laboral,920
Viernes,Julio,1,Laboral,1166
Sábado,Julio,1,Víspera,1009
Domingo,Julio,1,Festivo,1316
Lunes,Julio,2,Laboral,1529
Martes,Julio,2,Laboral,1212
Miércoles,Julio,2,Laboral,478
Jueves,Julio,2,Laboral,484
Viernes,Julio,2,Laboral,687
Sábado,Julio,2,Víspera,565
Domingo,Julio,2,Festivo,681
Lunes,Julio,3,Laboral,907
Martes,Julio,3,Laboral,846
Miércoles,Julio,3,Laboral,290
Jueves,Julio,3,Laboral,311
Viernes,Julio,3,Laboral,332
Sábado,Julio,3,Víspera,307
Domingo,Julio,3,Festivo,399
Lunes,Julio,4,Laboral,581
Martes,Julio,4,Laboral,668
Miércoles,Julio,4,Laboral,212
Jueves,Julio,4,Laboral,283
Viernes,Julio,4,Laboral,252
Sábado,Julio,4,Víspera,224
Domingo,Julio,4,Festivo,320
Lunes,Julio,5,Laboral,527
Martes,Julio,5,Laboral,551
Miércoles,Julio,5,Laboral,364
Jueves,Julio,5,Laboral,402
Viernes,Julio,5,Laboral,377
Sábado,Julio,5,Víspera,326
Domingo,Julio,5,Festivo,439
Lunes,Julio,6,Laboral,960
Martes,Julio,6,Laboral,901
Miércoles,Julio,6,Laboral,1399
Jueves,Julio,6,Laboral,1468
Viernes,Julio,6,Laboral,1365
Sábado,Julio,6,Víspera,1234
Domingo,Julio,6,Festivo,1307
Lunes,Julio,7,Laboral,1285
Martes,Julio,7,Laboral,1112
Miércoles,Julio,7,Laboral,4444
Jueves,Julio,7,Laboral,4255
Viernes,Julio,7,Laboral,4292
Sábado,Julio,7,Víspera,4061
Domingo,Julio,7,Festivo,4121
Lunes,Julio,8,Laboral,2260
Martes,Julio,8,Laboral,1229
Miércoles,Julio,8,Laboral,7840
Jueves,Julio,8,Laboral,8080
Viernes,Julio,8,Laboral,8142
Sábado,Julio,8,Víspera,7532
Domingo,Julio,8,Festivo,7643
Lunes,Julio,9,Laboral,3309
Martes,Julio,9,Laboral,1573
Miércoles,Julio,9,Laboral,6411
Jueves,Julio,9,Laboral,7839
Viernes,Julio,9,Laboral,7766
Sábado,Julio,9,Víspera,6224
Domingo,Julio,9,Festivo,6907
Lunes,Julio,10,Laboral,4552
Martes,Julio,10,Laboral,2282
Miércoles,Julio,10,Laboral,6236
Jueves,Julio,10,Laboral,7475
Viernes,Julio,10,Laboral,7331
Sábado,Julio,10,Víspera,6082
Domingo,Julio,10,Festivo,6798
Lunes,Julio,11,Laboral,5357
Martes,Julio,11,Laboral,3531
Miércoles,Julio,11,Laboral,6432
Jueves,Julio,11,Laboral,7236
Viernes,Julio,11,Laboral,6985
Sábado,Julio,11,Víspera,6579
Domingo,Julio,11,Festivo,6748
Lunes,Julio,12,Laboral,6398
Martes,Julio,12,Laboral,5084
Miércoles,Julio,12,Laboral,7043
Jueves,Julio,12,Laboral,7400
Viernes,Julio,12,Laboral,7312
Sábado,Julio,12,Víspera,7227
Domingo,Julio,12,Festivo,7286
Lunes,Julio,13,Laboral,6584
Martes,Julio,13,Laboral,5737
Miércoles,Julio,13,Laboral,7495
Jueves,Julio,13,Laboral,7580
Viernes,Julio,13,Laboral,7625
Sábado,Julio,13,Víspera,7482
Domingo,Julio,13,Festivo,7795
Lunes,Julio,14,Laboral,6979
Martes,Julio,14,Laboral,5824
Miércoles,Julio,14,Laboral,8700
Jueves,Julio,14,Laboral,8773
Viernes,Julio,14,Laboral,8537
Sábado,Julio,14,Víspera,8422
Domingo,Julio,14,Festivo,7907
Lunes,Julio,15,Laboral,6296
Martes,Julio,15,Laboral,5042
Miércoles,Julio,15,Laboral,9230
Jueves,Julio,15,Laboral,8876
Viernes,Julio,15,Laboral,8706
Sábado,Julio,15,Víspera,8663
Domingo,Julio,15,Festivo,8478
Lunes,Julio,16,Laboral,5081
Martes,Julio,16,Laboral,4029
Miércoles,Julio,16,Laboral,8578
Jueves,Julio,16,Laboral,8417
Viernes,Julio,16,Laboral,8560
Sábado,Julio,16,Víspera,8210
Domingo,Julio,16,Festivo,8217
Lunes,Julio,17,Laboral,5184
Martes,Julio,17,Laboral,4559
Miércoles,Julio,17,Laboral,8288
Jueves,Julio,17,Laboral,8358
Viernes,Julio,17,Laboral,8115
Sábado,Julio,17,Víspera,7981
Domingo,Julio,17,Festivo,7534
Lunes,Julio,18,Laboral,5807
Martes,Julio,18,Laboral,5412
Miércoles,Julio,18,Laboral,8288
Jueves,Julio,18,Laboral,8146
Viernes,Julio,18,Laboral,7786
Sábado,Julio,18,Víspera,7493
Domingo,Julio,18,Festivo,7589
Lunes,Julio,19,Laboral,5794
Martes,Julio,19,Laboral,5954
Miércoles,Julio,19,Laboral,7224
Jueves,Julio,19,Laboral,7618
Viernes,Julio,19,Laboral,8338
Sábado,Julio,19,Víspera,6857
Domingo,Julio,19,Festivo,6665
Lunes,Julio,20,Laboral,5499
Martes,Julio,20,Laboral,6128
Miércoles,Julio,20,Laboral,5855
Jueves,Julio,20,Laboral,6675
Viernes,Julio,20,Laboral,7553
Sábado,Julio,20,Víspera,4943
Domingo,Julio,20,Festivo,4909
Lunes,Julio,21,Laboral,5992
Martes,Julio,21,Laboral,5980
Miércoles,Julio,21,Laboral,6324
Jueves,Julio,21,Laboral,6820
Viernes,Julio,21,Laboral,6865
Sábado,Julio,21,Víspera,4553
Domingo,Julio,21,Festivo,4830
Lunes,Julio,22,Laboral,6165
Martes,Julio,22,Laboral,4745
Miércoles,Julio,22,Laboral,5078
Jueves,Julio,22,Laboral,5440
Viernes,Julio,22,Laboral,5294
Sábado,Julio,22,Víspera,5543
Domingo,Julio,22,Festivo,6326
Lunes,Julio,23,Laboral,4165
Martes,Julio,23,Laboral,2974
Miércoles,Julio,23,Laboral,3339
Jueves,Julio,23,Laboral,3614
Viernes,Julio,23,Laboral,3427
Sábado,Julio,23,Víspera,3706
Domingo,Julio,23,Festivo,4314
Lunes,Julio,24,Laboral,2808
Martes,Julio,24,Laboral,1747
Miércoles,Julio,24,Laboral,1650
Jueves,Julio,24,Laboral,1907
Viernes,Julio,24,Laboral,1981
Sábado,Julio,24,Víspera,2216
Domingo,Julio,24,Festivo,2943
Lunes,Julio,1,Laboral,2032
Martes,Julio,1,Laboral,2263
Miércoles,Julio,1,Laboral,964
Jueves,Julio,1,Laboral,864
Viernes,Julio,1,Laboral,827
Sábado,Julio,1,Víspera,1081
Domingo,Julio,1,Festivo,1201
Lunes,Julio,2,Laboral,1251
Martes,Julio,2,Laboral,1362
Miércoles,Julio,2,Laboral,459
Jueves,Julio,2,Laboral,402
Viernes,Julio,2,Laboral,448
Sábado,Julio,2,Víspera,497
Domingo,Julio,2,Festivo,655
Lunes,Julio,3,Laboral,747
Martes,Julio,3,Laboral,876
Miércoles,Julio,3,Laboral,245
Jueves,Julio,3,Laboral,266
Viernes,Julio,3,Laboral,223
Sábado,Julio,3,Víspera,306
Domingo,Julio,3,Festivo,400
Lunes,Julio,4,Laboral,571
Martes,Julio,4,Laboral,676
Miércoles,Julio,4,Laboral,233
Jueves,Julio,4,Laboral,249
Viernes,Julio,4,Laboral,221
Sábado,Julio,4,Víspera,224
Domingo,Julio,4,Festivo,308
Lunes,Julio,5,Laboral,489
Martes,Julio,5,Laboral,588
Miércoles,Julio,5,Laboral,338
Jueves,Julio,5,Laboral,358
Viernes,Julio,5,Laboral,361
Sábado,Julio,5,Víspera,373
Domingo,Julio,5,Festivo,398
Lunes,Julio,6,Laboral,933
Martes,Julio,6,Laboral,870
Miércoles,Julio,6,Laboral,1341
Jueves,Julio,6,Laboral,1402
Viernes,Julio,6,Laboral,1206
Sábado,Julio,6,Víspera,1319
Domingo,Julio,6,Festivo,1298
Lunes,Julio,7,Laboral,1439
Martes,Julio,7,Laboral,1026
Miércoles,Julio,7,Laboral,4314
Jueves,Julio,7,Laboral,4138
Viernes,Julio,7,Laboral,4029
Sábado,Julio,7,Víspera,3157
Domingo,Julio,7,Festivo,4148
Lunes,Julio,8,Laboral,1666
Martes,Julio,8,Laboral,1250
Miércoles,Julio,8,Laboral,8135
Jueves,Julio,8,Laboral,7879
Viernes,Julio,8,Laboral,7438
Sábado,Julio,8,Víspera,6943
Domingo,Julio,8,Festivo,7515
Lunes,Julio,9,Laboral,1972
Martes,Julio,9,Laboral,1531
Miércoles,Julio,9,Laboral,7625
Jueves,Julio,9,Laboral,7633
Viernes,Julio,9,Laboral,5116
Sábado,Julio,9,Víspera,5803
Domingo,Julio,9,Festivo,5947
Lunes,Julio,10,Laboral,2400
Martes,Julio,10,Laboral,2049
Miércoles,Julio,10,Laboral,7409
Jueves,Julio,10,Laboral,7283
Viernes,Julio,10,Laboral,5896
Sábado,Julio,10,Víspera,5558
Domingo,Julio,10,Festivo,5666
Lunes,Julio,11,Laboral,3615
Martes,Julio,11,Laboral,3541
Miércoles,Julio,11,Laboral,6526
Jueves,Julio,11,Laboral,7285
Viernes,Julio,11,Laboral,6607
Sábado,Julio,11,Víspera,5731
Domingo,Julio,11,Festivo,6142
Lunes,Julio,12,Laboral,6190
Martes,Julio,12,Laboral,4254
Miércoles,Julio,12,Laboral,5910
Jueves,Julio,12,Laboral,7450
Viernes,Julio,12,Laboral,7238
Sábado,Julio,12,Víspera,1164
Domingo,Julio,12,Festivo,6797
Lunes,Julio,13,Laboral,6275
Martes,Julio,13,Laboral,5016
Miércoles,Julio,13,Laboral,4515
Jueves,Julio,13,Laboral,7339
Viernes,Julio,13,Laboral,7397
Sábado,Julio,13,Víspera,1543
Domingo,Julio,13,Festivo,7371
Lunes,Julio,14,Laboral,6944
Martes,Julio,14,Laboral,5954
Miércoles,Julio,14,Laboral,4666
Jueves,Julio,14,Laboral,8295
Viernes,Julio,14,Laboral,8046
Sábado,Julio,14,Víspera,8075
Domingo,Julio,14,Festivo,8852
Lunes,Julio,15,Laboral,5931
Martes,Julio,15,Laboral,4979
Miércoles,Julio,15,Laboral,7503
Jueves,Julio,15,Laboral,8304
Viernes,Julio,15,Laboral,9101
